name,characteristics,cost_in_game,image
Black,Runeword: Thul Io Nef / weapon / crushing blow leveling,60,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23D4B056%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2234%22%20y%3D%2226%22%20width%3D%2232%22%20height%3D%2248%22%20rx%3D%223%22%20fill%3D%22%23D4B056%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2236%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2246%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2256%22%20width%3D%2214%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Leaf,Runeword: Tir Ral / staff / +fire skills early game,40,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23D4B056%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2234%22%20y%3D%2226%22%20width%3D%2232%22%20height%3D%2248%22%20rx%3D%223%22%20fill%3D%22%23D4B056%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2236%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2246%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2256%22%20width%3D%2214%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Ancients' Pledge,Runeword: Ral Ort Tal / shield / cheap resist shield,40,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23D4B056%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2234%22%20y%3D%2226%22%20width%3D%2232%22%20height%3D%2248%22%20rx%3D%223%22%20fill%3D%22%23D4B056%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2236%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2246%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2256%22%20width%3D%2214%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Passion,Runeword: Dol Ort Eld Lem / weapon / Berserk + Zeal,150,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23D4B056%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2234%22%20y%3D%2226%22%20width%3D%2232%22%20height%3D%2248%22%20rx%3D%223%22%20fill%3D%22%23D4B056%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2236%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2246%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2256%22%20width%3D%2214%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Malice,Runeword: Ith El Eth / weapon / open wounds + drain,40,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23D4B056%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Crect%20x%3D%2234%22%20y%3D%2226%22%20width%3D%2232%22%20height%3D%2248%22%20rx%3D%223%22%20fill%3D%22%23D4B056%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2236%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2246%22%20width%3D%2220%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2240%22%20y%3D%2256%22%20width%3D%2214%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Harlequin Crest (Shako),Unique helm / +2 skills / +life+mana / MF,3000,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23C9A24A%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Cpath%20d%3D%22M28%2C54%20a22%2C22%200%200%201%2044%2C0%20L72%2C76%20L28%2C76%20Z%22%20fill%3D%22%23C9A24A%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2228%22%20y%3D%2256%22%20width%3D%2244%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2248%22%20y%3D%2259%22%20width%3D%224%22%20height%3D%2217%22%20fill%3D%22%231F2738%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Andariel's Visage,Unique helm / +2 skills / IAS / leech,2500,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23C9A24A%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Cpath%20d%3D%22M28%2C54%20a22%2C22%200%200%201%2044%2C0%20L72%2C76%20L28%2C76%20Z%22%20fill%3D%22%23C9A24A%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2228%22%20y%3D%2256%22%20width%3D%2244%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2248%22%20y%3D%2259%22%20width%3D%224%22%20height%3D%2217%22%20fill%3D%22%231F2738%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Crown of Ages,Unique helm / sockets / DR / all res / CBF,4000,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23C9A24A%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Cpath%20d%3D%22M28%2C54%20a22%2C22%200%200%201%2044%2C0%20L72%2C76%20L28%2C76%20Z%22%20fill%3D%22%23C9A24A%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2228%22%20y%3D%2256%22%20width%3D%2244%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2248%22%20y%3D%2259%22%20width%3D%224%22%20height%3D%2217%22%20fill%3D%22%231F2738%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Griffon's Eye,Unique diadem / +1 lightning skills / -light res,6000,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23C9A24A%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Cpath%20d%3D%22M28%2C54%20a22%2C22%200%200%201%2044%2C0%20L72%2C76%20L28%2C76%20Z%22%20fill%3D%22%23C9A24A%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2228%22%20y%3D%2256%22%20width%3D%2244%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2248%22%20y%3D%2259%22%20width%3D%224%22%20height%3D%2217%22%20fill%3D%22%231F2738%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Nightwing's Veil,Unique helm / +2 cold skills / -enemy cold res,3000,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23C9A24A%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Cpath%20d%3D%22M28%2C54%20a22%2C22%200%200%201%2044%2C0%20L72%2C76%20L28%2C76%20Z%22%20fill%3D%22%23C9A24A%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2228%22%20y%3D%2256%22%20width%3D%2244%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2248%22%20y%3D%2259%22%20width%3D%224%22%20height%3D%2217%22%20fill%3D%22%231F2738%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Vampire Gaze,Unique helm / DR / leech / cold damage,300,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23C9A24A%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Cpath%20d%3D%22M28%2C54%20a22%2C22%200%200%201%2044%2C0%20L72%2C76%20L28%2C76%20Z%22%20fill%3D%22%23C9A24A%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2228%22%20y%3D%2256%22%20width%3D%2244%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2248%22%20y%3D%2259%22%20width%3D%224%22%20height%3D%2217%22%20fill%3D%22%231F2738%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Kira's Guardian,Unique tiara / cannot be frozen / all resist,800,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23C9A24A%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Cpath%20d%3D%22M28%2C54%20a22%2C22%200%200%201%2044%2C0%20L72%2C76%20L28%2C76%20Z%22%20fill%3D%22%23C9A24A%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2228%22%20y%3D%2256%22%20width%3D%2244%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2248%22%20y%3D%2259%22%20width%3D%224%22%20height%3D%2217%22%20fill%3D%22%231F2738%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Giant Skull,Unique helm / sockets / crushing blow / knockback,400,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23C9A24A%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Cpath%20d%3D%22M28%2C54%20a22%2C22%200%200%201%2044%2C0%20L72%2C76%20L28%2C76%20Z%22%20fill%3D%22%23C9A24A%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2228%22%20y%3D%2256%22%20width%3D%2244%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2248%22%20y%3D%2259%22%20width%3D%224%22%20height%3D%2217%22%20fill%3D%22%231F2738%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Veil of Steel,Unique helm / huge defense + all res,200,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23C9A24A%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Cpath%20d%3D%22M28%2C54%20a22%2C22%200%200%201%2044%2C0%20L72%2C76%20L28%2C76%20Z%22%20fill%3D%22%23C9A24A%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2228%22%20y%3D%2256%22%20width%3D%2244%22%20height%3D%223%22%20fill%3D%22%231F2738%22%2F%3E%0A%20%20%20%20%3Crect%20x%3D%2248%22%20y%3D%2259%22%20width%3D%224%22%20height%3D%2217%22%20fill%3D%22%231F2738%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Tyrael's Might,Unique body armor / +2 skills / CBF / all res,8000,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23C9A24A%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Cpath%20d%3D%22M30%2C26%20L50%2C34%20L70%2C26%20L74%2C40%20L67%2C46%20L70%2C76%20L50%2C84%20L30%2C76%20L33%2C46%20L26%2C40%20Z%22%20fill%3D%22%23C9A24A%22%2F%3E%0A%20%20%20%20%3Cline%20x1%3D%2250%22%20y1%3D%2236%22%20x2%3D%2250%22%20y2%3D%2282%22%20stroke%3D%22%231F2738%22%20stroke-width%3D%223%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Skin of the Vipermagi,Unique body armor / +1 skills / FCR / +35 res,200,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23C9A24A%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Cpath%20d%3D%22M30%2C26%20L50%2C34%20L70%2C26%20L74%2C40%20L67%2C46%20L70%2C76%20L50%2C84%20L30%2C76%20L33%2C46%20L26%2C40%20Z%22%20fill%3D%22%23C9A24A%22%2F%3E%0A%20%20%20%20%3Cline%20x1%3D%2250%22%20y1%3D%2236%22%20x2%3D%2250%22%20y2%3D%2282%22%20stroke%3D%22%231F2738%22%20stroke-width%3D%223%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Que-Hegan's Wisdom,Unique body armor / +1 skills / FCR / mana,200,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23C9A24A%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Cpath%20d%3D%22M30%2C26%20L50%2C34%20L70%2C26%20L74%2C40%20L67%2C46%20L70%2C76%20L50%2C84%20L30%2C76%20L33%2C46%20L26%2C40%20Z%22%20fill%3D%22%23C9A24A%22%2F%3E%0A%20%20%20%20%3Cline%20x1%3D%2250%22%20y1%3D%2236%22%20x2%3D%2250%22%20y2%3D%2282%22%20stroke%3D%22%231F2738%22%20stroke-width%3D%223%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Arkaine's Valor,Unique body armor / +2 skills / vit / huge defense,800,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23C9A24A%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Cpath%20d%3D%22M30%2C26%20L50%2C34%20L70%2C26%20L74%2C40%20L67%2C46%20L70%2C76%20L50%2C84%20L30%2C76%20L33%2C46%20L26%2C40%20Z%22%20fill%3D%22%23C9A24A%22%2F%3E%0A%20%20%20%20%3Cline%20x1%3D%2250%22%20y1%3D%2236%22%20x2%3D%2250%22%20y2%3D%2282%22%20stroke%3D%22%231F2738%22%20stroke-width%3D%223%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Guardian Angel,Unique body armor / max resist boost / +to-hit,300,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23C9A24A%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Cpath%20d%3D%22M30%2C26%20L50%2C34%20L70%2C26%20L74%2C40%20L67%2C46%20L70%2C76%20L50%2C84%20L30%2C76%20L33%2C46%20L26%2C40%20Z%22%20fill%3D%22%23C9A24A%22%2F%3E%0A%20%20%20%20%3Cline%20x1%3D%2250%22%20y1%3D%2236%22%20x2%3D%2250%22%20y2%3D%2282%22%20stroke%3D%22%231F2738%22%20stroke-width%3D%223%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Ormus' Robes,Unique body armor / +3 to a random skill tree / FCR,1500,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23C9A24A%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Cpath%20d%3D%22M30%2C26%20L50%2C34%20L70%2C26%20L74%2C40%20L67%2C46%20L70%2C76%20L50%2C84%20L30%2C76%20L33%2C46%20L26%2C40%20Z%22%20fill%3D%22%23C9A24A%22%2F%3E%0A%20%20%20%20%3Cline%20x1%3D%2250%22%20y1%3D%2236%22%20x2%3D%2250%22%20y2%3D%2282%22%20stroke%3D%22%231F2738%22%20stroke-width%3D%223%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Leviathan,Unique body armor / huge defense / DR / strength,600,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23C9A24A%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Cpath%20d%3D%22M30%2C26%20L50%2C34%20L70%2C26%20L74%2C40%20L67%2C46%20L70%2C76%20L50%2C84%20L30%2C76%20L33%2C46%20L26%2C40%20Z%22%20fill%3D%22%23C9A24A%22%2F%3E%0A%20%20%20%20%3Cline%20x1%3D%2250%22%20y1%3D%2236%22%20x2%3D%2250%22%20y2%3D%2282%22%20stroke%3D%22%231F2738%22%20stroke-width%3D%223%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Mara's Kaleidoscope,Unique amulet / +2 skills / +all res,3000,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23C9A24A%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Cline%20x1%3D%2234%22%20y1%3D%2220%22%20x2%3D%2250%22%20y2%3D%2250%22%20stroke%3D%22%23C9A24A%22%20stroke-width%3D%223%22%2F%3E%0A%20%20%20%20%3Cline%20x1%3D%2266%22%20y1%3D%2220%22%20x2%3D%2250%22%20y2%3D%2250%22%20stroke%3D%22%23C9A24A%22%20stroke-width%3D%223%22%2F%3E%0A%20%20%20%20%3Cpolygon%20points%3D%2250%2C46%2063%2C62%2050%2C84%2037%2C62%22%20fill%3D%22%23C9A24A%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Highlord's Wrath,Unique amulet / +1 skills / deadly strike / IAS,1500,"data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%22300%22%20height%3D%22300%22%3E%3Crect%20width%3D%22300%22%20height%3D%22300%22%20fill%3D%22%231F2738%22%2F%3E%3Crect%20x%3D%2210%22%20y%3D%2210%22%20width%3D%22280%22%20height%3D%22280%22%20rx%3D%2214%22%20fill%3D%22none%22%20stroke%3D%22%23C9A24A%22%20stroke-width%3D%222%22%2F%3E%3Cg%20transform%3D%22translate%2865%2C65%29%20scale%281.7%29%22%3E%3Cline%20x1%3D%2234%22%20y1%3D%2220%22%20x2%3D%2250%22%20y2%3D%2250%22%20stroke%3D%22%23C9A24A%22%20stroke-width%3D%223%22%2F%3E%0A%20%20%20%20%3Cline%20x1%3D%2266%22%20y1%3D%2220%22%20x2%3D%2250%22%20y2%3D%2250%22%20stroke%3D%22%23C9A24A%22%20stroke-width%3D%223%22%2F%3E%0A%20%20%20%20%3Cpolygon%20points%3D%2250%2C46%2063%2C62%2050%2C84%2037%2C62%22%20fill%3D%22%23C9A24A%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
